Hash Table
Table length: 101
Items in table: 251
Load factor: 2.485148514851485
Collisions: 158
Shortest chain: 0
Longest chain: 7
Bucket 0: 3 item(s)
Bucket 1: 1 item(s)
Bucket 2: 2 item(s)
Bucket 3: 3 item(s)
Bucket 4: 4 item(s)
Bucket 5: 3 item(s)
Bucket 6: 0 item(s)
Bucket 7: 1 item(s)
Bucket 8: 3 item(s)
Bucket 9: 3 item(s)
Bucket 10: 3 item(s)
Bucket 11: 1 item(s)
Bucket 12: 2 item(s)
Bucket 13: 2 item(s)
Bucket 14: 4 item(s)
Bucket 15: 4 item(s)
Bucket 16: 4 item(s)
Bucket 17: 2 item(s)
Bucket 18: 4 item(s)
Bucket 19: 2 item(s)
Bucket 20: 4 item(s)
Bucket 21: 7 item(s)
Bucket 22: 1 item(s)
Bucket 23: 1 item(s)
Bucket 24: 3 item(s)
Bucket 25: 2 item(s)
Bucket 26: 2 item(s)
Bucket 27: 1 item(s)
Bucket 28: 4 item(s)
Bucket 29: 3 item(s)
Bucket 30: 0 item(s)
Bucket 31: 7 item(s)
Bucket 32: 1 item(s)
Bucket 33: 2 item(s)
Bucket 34: 1 item(s)
Bucket 35: 4 item(s)
Bucket 36: 4 item(s)
Bucket 37: 4 item(s)
Bucket 38: 4 item(s)
Bucket 39: 2 item(s)
Bucket 40: 4 item(s)
Bucket 41: 1 item(s)
Bucket 42: 0 item(s)
Bucket 43: 0 item(s)
Bucket 44: 2 item(s)
Bucket 45: 2 item(s)
Bucket 46: 2 item(s)
Bucket 47: 4 item(s)
Bucket 48: 2 item(s)
Bucket 49: 3 item(s)
Bucket 50: 4 item(s)
Bucket 51: 5 item(s)
Bucket 52: 3 item(s)
Bucket 53: 2 item(s)
Bucket 54: 0 item(s)
Bucket 55: 1 item(s)
Bucket 56: 2 item(s)
Bucket 57: 1 item(s)
Bucket 58: 1 item(s)
Bucket 59: 4 item(s)
Bucket 60: 1 item(s)
Bucket 61: 1 item(s)
Bucket 62: 2 item(s)
Bucket 63: 3 item(s)
Bucket 64: 2 item(s)
Bucket 65: 4 item(s)
Bucket 66: 0 item(s)
Bucket 67: 2 item(s)
Bucket 68: 2 item(s)
Bucket 69: 1 item(s)
Bucket 70: 4 item(s)
Bucket 71: 3 item(s)
Bucket 72: 5 item(s)
Bucket 73: 7 item(s)
Bucket 74: 1 item(s)
Bucket 75: 1 item(s)
Bucket 76: 2 item(s)
Bucket 77: 4 item(s)
Bucket 78: 6 item(s)
Bucket 79: 1 item(s)
Bucket 80: 2 item(s)
Bucket 81: 3 item(s)
Bucket 82: 2 item(s)
Bucket 83: 2 item(s)
Bucket 84: 1 item(s)
Bucket 85: 0 item(s)
Bucket 86: 2 item(s)
Bucket 87: 4 item(s)
Bucket 88: 3 item(s)
Bucket 89: 0 item(s)
Bucket 90: 4 item(s)
Bucket 91: 2 item(s)
Bucket 92: 3 item(s)
Bucket 93: 1 item(s)
Bucket 94: 1 item(s)
Bucket 95: 3 item(s)
Bucket 96: 5 item(s)
Bucket 97: 2 item(s)
Bucket 98: 3 item(s)
Bucket 99: 4 item(s)
Bucket 100: 1 item(s)
